fieldmap_name:     	Calibration By
timestamp:         	2021-04-15_13-45-16
filename:          	2021-04-15_Calibration_By_I=110A_Y=0mm_X=-50_50mm_Z=0_40mm.txt
MagNet_file:       	Calibration_By.mn
nr_magnets:        	1

magnet_name:       	Calibration
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-50	0	0	9.17518069143977E-19	1.44675503409661	-1.37377785482638E-08
-49	0	0	8.48890175353868E-19	1.44698270939991	-4.39174243251002E-08
-48	0	0	0	1.44719429353249	0
-47	0	0	0	1.44739172005507	0
-46	0	0	0	1.44757644351584	0
-45	0	0	0	1.44774970287472	0
-44	0	0	0	1.44791245538414	0
-43	0	0	0	1.44806552800742	0
-42	0	0	0	1.44820960814052	0
-41	0	0	0	1.44834529946395	0
-40	0	0	0	1.44847311886703	0
-39	0	0	0	1.44859352434602	0
-38	0	0	0	1.44870691224512	0
-37	0	0	0	1.4488136548176	0
-36	0	0	0	1.44891407018491	0
-35	0	0	0	1.44900845427295	0
-34	0	0	0	1.4490970778317	0
-33	0	0	0	1.44918018289046	0
-32	0	0	0	1.44925799510616	0
-31	0	0	0	1.44933073147113	0
-30	0	0	0	1.44939856086624	0
-29	0	0	0	1.44946167667219	0
-28	0	0	0	1.44952025103076	0
-27	0	0	0	1.44957442878565	0
-26	0	0	0	1.44962435643894	0
-25	0	0	0	1.4496701682133	0
-24	0	0	0	1.44971198983655	0
-23	0	0	0	1.44974993762127	0
-22	0	0	0	1.44978412723966	0
-21	0	0	0	1.44981465714245	-8.24126481402728E-17
-20	0	0	0	1.44984162597616	0
-19	0	0	0	1.44986512413938	0
-18	0	0	0	1.44988524082494	0
-17	0	0	2.0247085791606E-20	1.44990206015798	-1.23058100706444E-23
-16	0	0	0	1.44991564768609	0
-15	0	0	0	1.44992608532798	0
-14	0	0	0	1.44993343717041	0
-13	0	0	0	1.44993776415092	0
-12	0	0	0	1.44993912690674	0
-11	0	0	0	1.44993758302937	0
-10	0	0	0	1.4499331755663	3.66470502051866E-09
-9	0	0	0	1.44992596346036	0
-8	0	0	0	1.4499159846055	0
-7	0	0	0	1.44990327953482	0
-6	0	0	0	1.44988788930306	0
-5	0	0	0	1.44986984288738	0
-4	0	0	0	1.44984918355754	0
-3	0	0	-6.81410808393999E-21	1.44982592932815	-8.2413744566156E-17
-2	0	0	0	1.44980011059466	0
-1	0	0	0	1.44977174638767	0
0	0	0	0	1.44974085808987	0
1	0	0	0	1.44970746141753	0
2	0	0	0	1.44967157002065	0
3	0	0	0	1.44963319186782	0
4	0	0	0	1.44959233384017	0
5	0	0	0	1.44954900182784	0
6	0	0	0	1.44950319596525	8.23937587412946E-17
7	0	0	0	1.44945491211017	0
8	0	0	0	1.44940414700004	0
9	0	0	0	1.44935088847715	0
10	0	0	0	1.44929512584006	0
11	0	0	0	1.44923684057359	0
12	0	0	-4.13682290937614E-20	1.44917601702	-1.68685278174705E-24
13	0	0	0	1.44911262574811	0
14	0	0	0	1.44904664738243	0
15	0	0	0	1.44897804600926	0
16	0	0	0	1.44890678222597	0
17	0	0	0	1.44883282439122	0
18	0	0	0	1.44875611887746	0
19	0	0	0	1.44867662152619	0
20	0	0	0	1.44859427339309	0
21	0	0	0	1.44850901744931	0
22	0	0	0	1.44842078573031	0
