fieldmap_name:     	Calibration Bz
timestamp:         	2021-04-20_12-32-19
filename:          	2021-04-20_Calibration_Bz_I=20A_Y=0mm_X=-25_25mm_Z=-15_15mm.txt
MagNet_file:       	Calibration_Bz.mn
nr_magnets:        	1

magnet_name:       	Calibration
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-25	0	-15	5.17357275688131E-04	1.91653566387364E-06	-1.16001519405063E-02
-24	0	-15	4.03458412567174E-04	2.38463807261031E-07	-1.15232923616319E-02
-23	0	-15	3.14992238676785E-04	-3.89234283125694E-06	-1.14599042761057E-02
-22	0	-15	2.59839399158657E-04	-5.37217418748997E-07	-1.14065213184263E-02
-21	0	-15	2.02498179452886E-04	7.78387678701881E-07	-1.13672743918866E-02
-20	0	-15	1.63023823867213E-04	-2.5104182300966E-06	-1.13285651407574E-02
-19	0	-15	1.29522846538345E-04	4.81630478244535E-06	-1.12947808077887E-02
-18	0	-15	1.07307997375457E-04	4.49209765569276E-06	-1.12714954227145E-02
-17	0	-15	8.95053505560459E-05	-6.05240987864515E-06	-0.011258298098785
-16	0	-15	8.03598066079979E-05	-1.32390115467809E-05	-1.12383108085792E-02
-15	0	-15	6.26616599040078E-05	6.62018150603568E-06	-1.12223167406066E-02
-14	0	-15	5.68612389141052E-05	1.70783478909231E-06	-1.12110169088954E-02
-13	0	-15	4.98683021415383E-05	4.33987681692631E-06	-1.12066363702925E-02
-12	0	-15	4.38150712595671E-05	2.64240526571841E-06	-1.11987324431909E-02
-11	0	-15	4.11742566390945E-05	2.27692827629992E-06	-1.11971528507244E-02
-10	0	-15	3.7516218579539E-05	4.90944947518537E-06	-1.11910908661296E-02
-9	0	-15	2.74348986957726E-05	1.60231112810009E-06	-1.11825727381868E-02
-8	0	-15	2.49555893801638E-05	2.2896772364716E-06	-1.11743830417111E-02
-7	0	-15	2.5862315543718E-05	5.67115711434881E-06	-1.11761365517739E-02
-6	0	-15	2.55163955720916E-05	-4.19018451362189E-06	-1.11792941100787E-02
-5	0	-15	2.29632606659902E-05	4.37058065381238E-06	-0.011175525983243
-4	0	-15	2.96406412293668E-05	1.2122000498599E-05	-1.11705302553681E-02
-3	0	-15	2.32847677634055E-05	3.92857349685138E-07	-1.11757238104418E-02
-2	0	-15	1.99406023453566E-05	4.90138718908679E-06	-1.11775644685175E-02
-1	0	-15	1.76440462547862E-05	3.32764917394236E-06	-1.11754867994774E-02
0	0	-15	1.99118185258279E-05	6.83357302904552E-06	-1.11768988379295E-02
1	0	-15	2.03781368104505E-05	-1.12118370528749E-06	-1.11762697201928E-02
